sourceTypeID,monthID,monthVMTFraction
11,12,0.0802141
11,11,0.0802282
11,10,0.086516
11,9,0.0846806
11,8,0.0934297
11,7,0.0923251
11,6,0.0882716
11,5,0.0875028
11,4,0.0823022
11,3,0.0817315
11,2,0.0697126
11,1,0.0730856
21,1,0.0730856
21,2,0.0697126
21,3,0.0817315
21,4,0.0823022
21,5,0.0875028
21,6,0.0882716
21,7,0.0923251
21,8,0.0934297
21,9,0.0846806
21,10,0.086516
21,11,0.0802282
21,12,0.0802141
31,1,0.0730856
31,2,0.0697126
31,3,0.0817315
31,4,0.0823022
31,5,0.0875028
31,6,0.0882716
31,7,0.0923251
31,8,0.0934297
31,9,0.0846806
31,10,0.086516
31,11,0.0802282
31,12,0.0802141
32,1,0.0730856
32,2,0.0697126
32,3,0.0817315
32,4,0.0823022
32,5,0.0875028
32,6,0.0882716
32,7,0.0923251
32,8,0.0934297
32,9,0.0846806
32,10,0.086516
32,11,0.0802282
32,12,0.0802141
41,1,0.0730856
41,2,0.0697126
41,3,0.0817315
41,4,0.0823022
41,5,0.0875028
41,6,0.0882716
41,7,0.0923251
41,8,0.0934297
41,9,0.0846806
41,10,0.086516
41,11,0.0802282
41,12,0.0802141
42,1,0.0730856
42,2,0.0697126
42,3,0.0817315
42,4,0.0823022
42,5,0.0875028
42,6,0.0882716
42,7,0.0923251
42,8,0.0934297
42,9,0.0846806
42,10,0.086516
42,11,0.0802282
42,12,0.0802141
43,1,0.0730856
43,2,0.0697126
43,3,0.0817315
43,4,0.0823022
43,5,0.0875028
43,6,0.0882716
43,7,0.0923251
43,8,0.0934297
43,9,0.0846806
43,10,0.086516
43,11,0.0802282
43,12,0.0802141
51,1,0.0730856
51,2,0.0697126
51,3,0.0817315
51,4,0.0823022
51,5,0.0875028
51,6,0.0882716
51,7,0.0923251
51,8,0.0934297
51,9,0.0846806
51,10,0.086516
51,11,0.0802282
51,12,0.0802141
52,1,0.0730856
52,2,0.0697126
52,3,0.0817315
52,4,0.0823022
52,5,0.0875028
52,6,0.0882716
52,7,0.0923251
52,8,0.0934297
52,9,0.0846806
52,10,0.086516
52,11,0.0802282
52,12,0.0802141
53,1,0.0730856
53,2,0.0697126
53,3,0.0817315
53,4,0.0823022
53,5,0.0875028
53,6,0.0882716
53,7,0.0923251
53,8,0.0934297
53,9,0.0846806
53,10,0.086516
53,11,0.0802282
53,12,0.0802141
54,1,0.0730856
54,2,0.0697126
54,3,0.0817315
54,4,0.0823022
54,5,0.0875028
54,6,0.0882716
54,7,0.0923251
54,8,0.0934297
54,9,0.0846806
54,10,0.086516
54,11,0.0802282
54,12,0.0802141
61,1,0.0730856
61,2,0.0697126
61,3,0.0817315
61,4,0.0823022
61,5,0.0875028
61,6,0.0882716
61,7,0.0923251
61,8,0.0934297
61,9,0.0846806
61,10,0.086516
61,11,0.0802282
61,12,0.0802141
62,1,0.0730856
62,2,0.0697126
62,3,0.0817315
62,4,0.0823022
62,5,0.0875028
62,6,0.0882716
62,7,0.0923251
62,8,0.0934297
62,9,0.0846806
62,10,0.086516
62,11,0.0802282
62,12,0.0802141
