sourceTypeID,roadTypeID,roadTypeVMTFraction
21,1,0.000000000000001
21,2,0.0214496
21,3,0.0149566
21,4,0.511942
21,5,0.451652
31,1,0.000000000000001
31,2,0.0214801
31,3,0.0150339
31,4,0.530375
31,5,0.433111
32,1,0.000000000000001
32,2,0.0214441
32,3,0.0150732
32,4,0.529858
32,5,0.433625
51,1,0.000000000000001
51,2,0.0219467
51,3,0.0156138
51,4,0.529357
51,5,0.433083
52,1,0.000000000000001
52,2,0.0211618
52,3,0.0157809
52,4,0.523038
52,5,0.44002
53,1,0.000000000000001
53,2,0.0212826
53,3,0.0157553
53,4,0.524011
53,5,0.438951
54,1,0.000000000000001
54,2,0.020732
54,3,0.0158668
54,4,0.519581
54,5,0.44382
43,1,0.000000000000001
43,2,0.0254694
43,3,0.0151882
43,4,0.539827
43,5,0.419516
42,1,0.000000000000001
42,2,0.0257148
42,3,0.0151713
42,4,0.540871
42,5,0.418243
41,1,0.000000000000001
41,2,0.0257148
41,3,0.0151713
41,4,0.540871
41,5,0.418243
61,1,0.000000000000001
61,2,0.0220531
61,3,0.0155905
61,4,0.530214
61,5,0.432142
62,1,0.000000000000001
62,2,0.0222109
62,3,0.0155562
62,4,0.531486
62,5,0.430747
11,1,0.000000000000001
11,2,0.0254832
11,3,0.0137691
11,4,0.538745
11,5,0.422003
