"NONROAD Pollutant ID","NONROAD Pollutant Name","SMOKE Pollutant Name"
1,"Total Gaseous Hydrocarbons","THC_INV"
2,"Carbon Monoxide (CO)","CO_INV"
3,"Oxides of Nitrogen (NOx)","NOX"
5,"Methane (CH4)","CH4_INV"
20,"Benzene","71432"
21,"Ethanol","ETHANOL"
23,"Naphthalene particle","91203_p"
24,"1,3-Butadiene","106990"
25,"Formaldehyde","50000"
26,"Acetaldehyde","75070"
27,"Acrolein","107028"
30,"Ammonia (NH3)","NH3_INV"
31,"Sulfur Dioxide (SO2)","SO2_INV"
40,"2,2,4-Trimethylpentane","540841"
41,"Ethyl Benzene","100414"
42,"Hexane","110543"
43,"Propionaldehyde","123386"
44,"Styrene","100425"
45,"Toluene","108883"
46,"Xylene","1330207"
60,"Mercury Elemental Gaseous","200"
61,"Mercury Divalent Gaseous","201"
62,"Mercury Particulate","202"
63,"Arsenic Compounds","7440382"
65,"Chromium 6+","18540299"
66,"Manganese Compounds","7439965"
67,"Nickel Compounds","7440020"
68,"Dibenzo(a,h)anthracene particle","53703_p"
69,"Fluoranthene particle","206440_p"
70,"Acenaphthene particle","83329_p"
71,"Acenaphthylene particle","208968_p"
72,"Anthracene particle","120127_p"
73,"Benz(a)anthracene particle","56553_p"
74,"Benzo(a)pyrene particle","50328_p"
75,"Benzo(b)fluoranthene particle","205992_p"
76,"Benzo(g,h,i)perylene particle","191242_p"
77,"Benzo(k)fluoranthene particle","207089_p"
78,"Chrysene particle","218019_p"
79,"Non-Methane Hydrocarbons","NMHC"
80,"Non-Methane Organic Gases","NMOG"
81,"Fluorene particle","86737_p"
82,"Indeno(1,2,3,c,d)pyrene particle","193395_p"
83,"Phenanthrene particle","85018_p"
84,"Pyrene particle","129000_p"
86,"Total Organic Gases","TOG_INV"
87,"Volatile Organic Compounds","VOC_INV"
88,"NonHAPTOG","NONHAPTOG"
90,"Atmospheric CO2","CO2_INV"
99,"Brake Specific Fuel Consumption (BSFC)","BSFC"
100,"Primary Exhaust PM10  - Total","PM10"
110,"Primary Exhaust PM2.5 - Total","PM2_5"
130,"1,2,3,7,8,9-Hexachlorodibenzo-p-Dioxin","19408743"
131,"Octachlorodibenzo-p-dioxin","3268879"
132,"1,2,3,4,6,7,8-Heptachlorodibenzo-p-Dioxin","35822469"
133,"Octachlorodibenzofuran","39001020"
134,"1,2,3,4,7,8-Hexachlorodibenzo-p-Dioxin","39227286"
135,"1,2,3,7,8-Pentachlorodibenzo-p-Dioxin","40321764"
136,"2,3,7,8-Tetrachlorodibenzofuran","51207319"
137,"1,2,3,4,7,8,9-Heptachlorodibenzofuran","55673897"
138,"2,3,4,7,8-Pentachlorodibenzofuran","57117314"
139,"1,2,3,7,8-Pentachlorodibenzofuran","57117416"
140,"1,2,3,6,7,8-Hexachlorodibenzofuran","57117449"
141,"1,2,3,6,7,8-Hexachlorodibenzo-p-Dioxin","57653857"
142,"2,3,7,8-Tetrachlorodibenzo-p-Dioxin","1746016"
143,"2,3,4,6,7,8-Hexachlorodibenzofuran","60851345"
144,"1,2,3,4,6,7,8-Heptachlorodibenzofuran","67562394"
145,"1,2,3,4,7,8-Hexachlorodibenzofuran","70648269"
146,"1,2,3,7,8,9-Hexachlorodibenzofuran","72918219"
169,"Fluoranthene gas","206440_g"
170,"Acenaphthene gas","83329_g"
171,"Acenaphthylene gas","208968_g"
172,"Anthracene gas","120127_g"
173,"Benz(a)anthracene gas","56553_g"
174,"Benzo(a)pyrene gas","50328_g"
175,"Benzo(b)fluoranthene gas","205992_g"
176,"Benzo(g,h,i)perylene gas","191242_g"
177,"Benzo(k)fluoranthene gas","207089_g"
178,"Chrysene gas","218019_g"
181,"Fluorene gas","86737_g"
183,"Phenanthrene gas","85018_g"
184,"Pyrene gas","129000_g"
185,"Naphthalene gas","91203_g"
