"MOVES2014 Code","Aggregate Code","MOVES2014 Description","Aggregate Description"
1,72,"Running Exhaust","All exhaust and evaporative and brake and tire wear except refueling and hoteling"
2,72,"Start Exhaust","All exhaust and evaporative and brake and tire wear except refueling and hoteling"
9,40,"Brakewear","All exhaust and evaporative and brake and tire wear except refueling and hoteling"
10,40,"Tirewear","All exhaust and evaporative and brake and tire wear except refueling and hoteling"
11,72,"Evap Permeation","All exhaust and evaporative and brake and tire wear except refueling and hoteling"
12,72,"Evap Fuel Vapor Venting","All exhaust and evaporative and brake and tire wear except refueling and hoteling"
13,72,"Evap Fuel Leaks","All exhaust and evaporative and brake and tire wear except refueling and hoteling"
15,72,"Crankcase Running Exhaust","All exhaust and evaporative and brake and tire wear except refueling and hoteling"
16,72,"Crankcase Start Exhaust","All exhaust and evaporative and brake and tire wear except refueling and hoteling"
17,53,"Crankcase Extended Idle Exhaust","All extended idle exhaust"
18,62,"Refueling Displacement Vapor Loss","All refueling"
19,62,"Refueling Spillage Loss","All refueling"
90,53,"Extended Idle Exhaust","All extended idle exhaust"
91,91,"Auxiliary Power Exhaust","Auxiliary power exhaust"
